blockchain,version,block_time,block_month,userop_hash,entrypoint_contract,tx_hash,sender,paymaster,factory
gnosis,v0.5,2023-03-25T01:18:00Z,2023-03-01T00:00:00Z,0x3b250809cb771f4e8908e86f40337448fa142bc6134b3aef8257076984c62cc1,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xf8ac4605f37d6fefa1acf7d086a34dcdaf75f207ff1aae469ef82d779b0f17e9,0x57c8a37f2460bb69a53e1111ac2dba477871b488,0x0000000000000000000000000000000000000000,0xf37255d9f2f1c1afdf10fede072d934733e7e983
gnosis,v0.6,2023-06-07T13:50:00Z,2023-06-01T00:00:00Z,0x6e0b9e2b89e515eefd5a26c9495dca705e4fe8d2066b170b79c50bb309d413c5,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0xbf2a14935f4f1e663f560862ffac76d16146632cffddbb5f5b6972dc79fd69e1,0xbba97ec4fff328d485382dfd5a9bf9653c6018af,0x0000000000000000000000000000000000000000,0x9406cc6185a346906296840746125a0e44976454
gnosis,v0.6,2023-05-09T09:19:00Z,2023-05-01T00:00:00Z,0x2572b56e38975fceb1a21a1083a966451cc6c773f4a0a14adb604cc91729fc38,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x4e9a95255f15c163219ecd4e9c3e089367a3d228d65c1631e918d5842815a979,0x5b1ce41a8ccf32f33348d0a66c95e3879e91acb9,0x0000000000000000000000000000000000000000,0x50e499307be4edc700c7b61aadfe2dbc0fb00e1e
gnosis,v0.6,2023-07-21T18:09:00Z,2023-07-01T00:00:00Z,0x0644117c15b6d2daaa3937cc46a39cd0af9c5d7a09cf97939cca6f6d90a732ff,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x416214c4be6f1cf00f8bd8dd7d1ece51eae8ae112474d7a48bd3960addc4f6b8,0x1b8732b3054b70a6fbd4409ddf3159a45766ff0c,0x0000000000000000000000000000000000000000,0x8e5ffc77d0906618a8ed73db34f92ea0251b327b
ethereum,v0.5,2023-03-27T20:42:00Z,2023-03-01T00:00:00Z,0xb521d868153a0de9d098f57a511890727180e2c4a05adac813cbb26800036595,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xdbc4e44441e019887558efdce981545608618c09b43ae36a121044572ef6bbd4,0xecf60cb3f5c5090a55d35fae2089581af824a6f5,0x6087c019c9495139ad9ed230173e8681dee3fff2,0x3e9fcff3e490881855cbe07f23a674e91d163894
ethereum,v0.5,2023-03-06T09:10:00Z,2023-03-01T00:00:00Z,0xbb488bfe135cdf885a0e7c439ca18e20c8f8d5e0a8135fb5a65dbb2a2a138cf2,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xf39d2c53373fe10c2f76b152a86c9f302b743c651186d9be8188d47820c02cc1,0x668c558db13ff6d8ee549309ae5e1bc457a95de9,0x0000000000000000000000000000000000000000,0x71d63edcda95c61d6235552b5bc74e32d8e2527b
ethereum,v0.5,2023-03-02T01:54:00Z,2023-03-01T00:00:00Z,0xf489e4e7d304015daf07520677a1c45ed0d95f00a7bf6bf511831a8209bdf962,0x0576a174d229e3cfa37253523e645a78a0c91b57,0x36c509536e7dc92e464a4ca68377b3013db70faca0a5561df261c4d1f395dfa4,0x4c451b29040c90e01a565db88f7a8fe207ce4f82,0x6087c019c9495139ad9ed230173e8681dee3fff2,0x71d63edcda95c61d6235552b5bc74e32d8e2527b
ethereum,v0.6,2023-07-17T20:34:00Z,2023-07-01T00:00:00Z,0x5e8e74af5421adba3bf8aa54943be3adb3376781fd3f958062439ffe420561f9,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x56971f8e053a236b1700e428f37a6bf9cc197e5f59e36a4571323a84888764eb,0x8a6a006afc3f95fc9cc8f98d8c0eb0f813ac932e,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0x4e4946298614fc299b50c947289f4ad0572cb9ce
ethereum,v0.6,2023-07-17T01:13:00Z,2023-07-01T00:00:00Z,0x3645aa2096f5dc014bbc49993b246e2988793962110fdf472168a4696f214888,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x32f3fb96d45666fc4fd64a076dd3d85cf6b7ff1a0af1d1cb4c99003d3f5f16a7,0x8b6f09c12950a2296717187a070909cfb40334aa,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0x4e4946298614fc299b50c947289f4ad0572cb9ce
ethereum,v0.6,2023-06-23T20:13:00Z,2023-06-01T00:00:00Z,0x154fb4e5e48680f442f31bd2864788aa9f29187b68456269816426314742d202,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x470634f579d7b2c23f58f6efc61c278581a4ff65879fbd63ee9d4022744e2d73,0x92bad3d3590b579a83051908353f2b7c66e33f41,0x0000000000000000000000000000000000000000,0x9406cc6185a346906296840746125a0e44976454
avalanche_c,v0.5,2023-04-17T18:24:00Z,2023-04-01T00:00:00Z,0x341678a52fe3bff9b9d81e4ac5dc7544aaed3528defe12cef36b599bf53ed71f,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xb4c8b76c7fa81ce04b6b4074170db44c884441890ff559717cbe03372536d02a,0x5023dcb71e64f2890649a8d99e04a5c3c5e115b0,0x0000000000000000000000000000000000000000,0x71d63edcda95c61d6235552b5bc74e32d8e2527b
avalanche_c,v0.6,2023-04-17T13:39:00Z,2023-04-01T00:00:00Z,0xe512ccebb1fcd3d3a72cc099c9f0394f7f8ea4488dd02881f4207b59a29ec09a,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x50e76b674b12d4a2efec492921099032af4f3216c19d7f04c09fa62d63fae537,0xa80fb660af2b524b4a3e0c3de3978080d314ecf6,0x0000000000000000000000000000000000000000,0x9406cc6185a346906296840746125a0e44976454
avalanche_c,v0.6,2023-06-05T05:10:00Z,2023-06-01T00:00:00Z,0x1a43bab86c19d19a6177cb2a407448e548e33f5417733bdeb6e19c26e9b3f483,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0xfd8e14f37d670c1d45ee57c583650eeadbe4b5bb170448236157b12fc09722cf,0xc3b7f057e71dda9a73cfe7d58cfdd8c94d1f16dc,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0x4e4946298614fc299b50c947289f4ad0572cb9ce
avalanche_c,v0.6,2023-04-22T04:06:00Z,2023-04-01T00:00:00Z,0x9a8f3192fc57ab7a16c74beeb40f918206d60f11600cc62748e5d8c8538965d3,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x547b0a83aff50f2dbc179bc50f40a37194955571829d5040a152106a48592e00,0xb79143e7615bcd4ad5d15e1eaa2a1557e6a981f4,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0x4e4946298614fc299b50c947289f4ad0572cb9ce
arbitrum,v0.5,2023-04-14T07:27:00Z,2023-04-01T00:00:00Z,0xa450b93f1462918c9a4ea84887780c46df574aa3e3d1f772d5e4f408b33d28ea,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xfdfad703d0586112a59bd365563d210628d9cd050b6881593611f68b31dcda32,0x9f5f87472b4890d7374fd6d4eec92fcb2b91e20b,0x0000000000000000000000000000000000000000,0xafd49e2d9bdb427d4d6cac2e6565337f88f90d8f
arbitrum,v0.5,2023-03-23T12:11:00Z,2023-03-01T00:00:00Z,0x75f90c65f5c57f8ee34f5bfa3e748809bf180fe2bf892d1619d23016b93f001f,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xad5a5164acb568560b2f0a3fc27d620fd10529cd3855faf7d00fc67b99bc2c23,0xcad5f663e28036c2600d628ad40e1863a765c0f2,0x0000000000000000000000000000000000000000,0x3a9c32b9ae2e07b6067018e43886055ae89db921
arbitrum,v0.5,2023-05-08T22:45:00Z,2023-05-01T00:00:00Z,0x95e98a62235ef06ec734783256fb9074dae56315b218043b0fd3a0ef482eb9bb,0x0576a174d229e3cfa37253523e645a78a0c91b57,0xf4cccb4f06986c2bc0feceae477e979bb8f9e608e9e577247bc44aa3fe1d7f9a,0x40a39552673ad000fbc0e535d39944318163f141,0xa880eae8900eb59bf7dad9bdb741a086238adca9,0x3e9fcff3e490881855cbe07f23a674e91d163894
arbitrum,v0.6,2023-08-03T08:33:00Z,2023-08-01T00:00:00Z,0xd11bf40662a17bbd43e642409b1faf113ebda3450711d7de5a75a29898f15e70,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x6385815a9231e165514c03693e5d8bc864516e3f7b043ae849234ea168826746,0x03adaa93ee8ef9826980a68a72d53c8df722c63b,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0x19b03a419124b77a7659a0fdab7903c6f40183e5
arbitrum,v0.6,2023-08-03T08:49:00Z,2023-08-01T00:00:00Z,0x235d44a0c9cb0c9c27b426e52e0154e09662553145701da0113d2e6a179af9b8,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0xefcf44e4ac7ff31c1b8e99909609479f7a8589d26f48001a58c123c91e2fd5c6,0x34612bd44865a660e968fe7884fbe92ae8acbc85,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0x19b03a419124b77a7659a0fdab7903c6f40183e5
arbitrum,v0.6,2023-08-03T09:21:00Z,2023-08-01T00:00:00Z,0x0902ac164abb7f90f9d286109cf185750b01d02f7ff8d72c2d4adb42d9e37560,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x856af2ac4ad93aaed2bcde0bd016e50cda58914c0b7be07f84d63f2648b6548d,0x241c3291cb948b894321917007b688380e3d913b,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0x19b03a419124b77a7659a0fdab7903c6f40183e5
base,v0.6,2023-07-28T00:52:00Z,2023-07-01T00:00:00Z,0xaa0a699eeb370acb97ebfc8b29d9d613de387f11f12afbce1963261c027ffa3f,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x5fe1d51acd1ad25e04ccfd3f460178ff2fe45624571206c1a5c417ae73486bbb,0xb22e9dfec0edf4cdf663a15d0a22deb172246d46,0xa880eae8900eb59bf7dad9bdb741a086238adca9,0x9406cc6185a346906296840746125a0e44976454
base,v0.6,2023-08-02T11:53:00Z,2023-08-01T00:00:00Z,0x20cd4f0a6ba8089a6705820ed79ceee011c0b1e0acba5a2f810701fcef3ae0dc,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x811be0a9d52a9ac19f7a235e18d5089504caa09feb99959355e4deb34bbb9f4a,0xa80fb660af2b524b4a3e0c3de3978080d314ecf6,0x0000000000000000000000000000000000000000,0x9406cc6185a346906296840746125a0e44976454
base,v0.6,2023-08-02T01:50:00Z,2023-08-01T00:00:00Z,0xc9e4f764ff1a07790dc795f7e6912c095cdb87258c546a3064d02a24ab69cc24,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0xf4318813a026c69fb34f0972d6fee11072d53f505ec31123c335e703afa0df81,0xd386847ca253a122b483bffde2e3424a1af070c4,0x0000000000000000000000000000000000000000,0x9406cc6185a346906296840746125a0e44976454
bnb,v0.6,2023-08-02T14:03:00Z,2023-08-01T00:00:00Z,0x0087a92831884953ce5ded3870aea14671f847afa11624714cd6b08bcaac2781,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x71f4d813bfdd39b7b5b9242f184da9c8bea729531cdcfde4d9d16addb042edb1,0xda0e47472e6a47fecb74602313b60c8494c9351f,0x87911d9975369667d9707a53798060e032285605,0x54e63a0fed8050830f3276352253b98ee4e93bb8
bnb,v0.6,2023-07-29T14:22:00Z,2023-07-01T00:00:00Z,0x009f5b7eda5c2a756c00a8f66fe2ec6d98442750b8b8bb730278634aad90d0ad,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x6d67575618c0b286355e69e00fa9d96216e0d5c16b5cd871bfceba7b55ade0fd,0xa96d019b8c401c49b527fb6d7b2d6c763176c5df,0x0000000000000000000000000000000000000000,0x9406cc6185a346906296840746125a0e44976454
bnb,v0.6,2023-06-22T15:11:00Z,2023-06-01T00:00:00Z,0x00c1304f77be9b2816d3c76526171465cf09481426f0c730e322e98797e3b801,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x96211b425f1a9b76861d17807a5e3096873963b2afe66962811c8426e415f96d,0x1a00f2b132707098c824d81b07df916bef38e3da,0xe93eca6595fe94091dc1af46aac2a8b5d7990770,0x9406cc6185a346906296840746125a0e44976454
celo,v0.6,2023-11-23 12:33:42.000 UTC,2023-11-01,0x321a003f9e1d236e965538600ea63a352258920a1b17b700780f4147333439a3,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x170cbb6cd2af26cf40da9514590e336fcf56d3410610d14d1ac8c66da54b61a5,0xc214fd2f7685702c297bf34c4c250592df5155cd,0xe3dc822d77f8ca7ac74c30b0dffea9fcdcaaa321,0xc85432f49d83801bd38b59928cef4f0581bf73ef
celo,v0.6,2023-11-17 11:38:06.000 UTC,2023-11-01,0x0399f17af09d1087811dbaa25515c659144a38216d6e8011344552f9d0cbd1b2,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0x45dc035028aa65334713ae32885e4ca5821374f4d5f0882d97ae42c0bf309bd2,0x886a187d1e3bc8849153365f4d2c47386abc3764,0x0000000000000000000000000000000000000000,0xb73eb505abc30d0e7e15b73a492863235b3f4309
celo,v0.6,2023-11-20 19:56:27.000 UTC,2023-11-01,0x20fb8149906d4f2584905197739049e0ad56b38edf855399bec09da803b53922,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0xbd16b78ef0e3e73eb19b0a2f353dd97aa4bce2b0eae69e6caed69bed921588d7,0x7152e0855bab82b8e10b8692e584ad034bd22912,0xe3dc822d77f8ca7ac74c30b0dffea9fcdcaaa321,0x9406cc6185a346906296840746125a0e44976454
